"Longitude"	"Latitude"	"Collector"	"Collection.Number"	"Genus"	"Species"	"Country"	"StateProvince"	"MinimumElevation"	"MaximumElevation"	"REPOSITORIO"	"SP"
"-67.67"	"3.92"	"B. G. Stergios D."	"11565"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	110	110	220947	"P. aracouchini"
"-69.41916667"	"-12.6563889"	"M. Aguilar"	"1163"	"Protium"	"aracouchini"	"Peru"	"Madre de Dios"	210	210	220947	"P. aracouchini"
"-52.6008224"	"-0.8809315"	"N. T. da Silva"	"1165"	"Protium"	"aracouchini"	"Brazil"	"Par?"	"NA"	"NA"	220947	"P. aracouchini"
"-52.6008224"	"-0.8809315"	"N. T. da Silva"	"1165"	"Protium"	"aracouchini"	"Brazil"	"Par?"	"NA"	"NA"	220947	"P. aracouchini"
"-39.250406"	"-15.1466593"	"S. A. Mori"	"11899"	"Protium"	"calanense"	"Brazil"	"Bahia"	"NA"	"NA"	220947	"P. calanense"
"-48.417263"	"-1.4402643"	"J. M. Pires"	"11908"	"Protium"	"aracouchini"	"Brazil"	"Par?"	"NA"	"NA"	220947	"P. aracouchini"
"-64.87"	"-3.37"	"S. T. McDaniel"	"11937"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	40	"NA"	220947	"P. aracouchini"
"-71.78"	"7.625"	"J. A. Steyermark"	"119431"	"Protium"	"aracouchini"	"Venezuela"	"T?chira"	250	350	220947	"P. aracouchini"
"-73.7167"	"2.55"	"J. C. Betancur"	"11976"	"Protium"	"leptostachyum"	"Colombia"	"Meta"	225	"NA"	220947	"P. leptostachyum"
"-39.415"	"-16.86722222"	"W. W. Thomas"	"11993"	"Protium"	"calanense"	"Brazil"	"Bahia"	50	50	220947	"P. calanense"
"-62.533333"	"-7.75"	"L. O. A. Teixeira"	"1210"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-73.73"	"-7.5"	"G. T. Prance"	"12128"	"Protium"	"elegans"	"Brazil"	"Acre"	"NA"	"NA"	220947	"P. elegans"
"-73.73"	"-7.5"	"G. T. Prance"	"12128"	"Protium"	"elegans"	"Brazil"	"Acre"	"NA"	"NA"	220947	"P. elegans"
"-67.25"	"5.58"	"J. A. Steyermark"	"122130"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	200	300	220947	"P. aracouchini"
"-76.25"	"-0.85"	"A. Dik"	"1227"	"Protium"	"aracouchini"	"Ecuador"	"Napo"	260	260	220947	"P. aracouchini"
"-64.8239279"	"-3.345023"	"T. C. Plowman"	"12425"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-73.73"	"-7.5"	"G. T. Prance"	"12425a"	"Protium"	"aracouchini"	"Brazil"	"Acre"	"NA"	"NA"	220947	"P. aracouchini"
"-68.67"	"-12.53"	"M. N. Alexiades"	"1251"	"Protium"	"aracouchini"	"Peru"	"Madre de Dios"	180	180	220947	"P. aracouchini"
"-77.7533"	"-2.1147"	"C. Kajekai"	"1321"	"Protium"	"calanense"	"Ecuador"	"Morona-Santiago"	800	800	220947	"P. calanense"
"-77.5"	"-1.13"	"W. A. Palacios"	"1359"	"Protium"	"aracouchini"	"Ecuador"	"Napo"	450	"NA"	220947	"P. aracouchini"
"-67.0003796"	"1.9489463"	"T. C. Plowman"	"13684"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-39.1202492"	"-15.1148921"	"S. A. Mori"	"13744"	"Protium"	"aracouchini"	"Brazil"	"Bahia"	100	100	220947	"P. aracouchini"
"-65.895"	"6.155"	"B. G. Stergios D."	"13794"	"Protium"	"aracouchini"	"Venezuela"	"Bol?var"	250	350	220947	"P. aracouchini"
"-77.7575"	"-2.1106"	"C. Kajekai"	"1388"	"Protium"	"calanense"	"Ecuador"	"Morona-Santiago"	870	"NA"	220947	"P. calanense"
"-64.79917"	"-7.25861"	"G. T. Prance"	"13973"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-59.9867168"	"-3.0882501"	"W. A. Ducke"	"1399"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-59.9867168"	"-3.0882501"	"W. A. Ducke"	"1399"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-77.9436"	"-3.0503"	"D. A. Neill"	"14012"	"Protium"	"aracouchini"	"Ecuador"	"Morona-Santiago"	340	"NA"	220947	"P. aracouchini"
"-59.97"	"-2.883333"	"J. E. L. S. Ribeiro"	"1403"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-39.0492"	"-14.7892"	"L. A. Mattos Silva"	"1411"	"Protium"	"aracouchini"	"Brazil"	"Bahia"	"NA"	"NA"	220947	"P. aracouchini"
"-67.550679"	"2.727741"	"L. W. Williams"	"14347"	"Protium"	"elegans"	"Venezuela"	"Amazonas"	127	127	220947	"P. elegans"
"-65.5843395"	"-10.537275"	"G. Meyer"	"144"	"Protium"	"aracouchini"	"Bolivia"	"Beni"	"NA"	"NA"	220947	"P. aracouchini"
"-39.5506"	"-18.0867"	"R. P. Bel?m"	"1441"	"Protium"	"calanense"	"Brazil"	"Bahia"	"NA"	"NA"	220947	"P. calanense"
"-64.93"	"3.25"	"B. G. Stergios D."	"14420"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	220	450	220947	"P. aracouchini"
"-64.93"	"3.25"	"B. G. Stergios D."	"14446"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	220	450	220947	"P. aracouchini"
"-65.2"	"3.03"	"B. G. Stergios D."	"14561"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	200	230	220947	"P. aracouchini"
"-72.13"	"-0.57"	"A. C. Londo?o"	"1486"	"Protium"	"aracouchini"	"Colombia"	"Amazonas"	200	300	220947	"P. aracouchini"
"-68.8431"	"-13.0258"	"A. Poma"	"149 A"	"Protium"	"aracouchini"	"Bolivia"	"La Paz"	190	190	220947	"P. aracouchini"
"-65.11666667"	"2.433333333"	"B. G. Stergios D."	"15013"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	185	185	220947	"P. aracouchini"
"-60.5089"	"-2.8275"	"G. T. Prance"	"15036"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-67.0579264"	"1.9218151"	"Collector unspecified"	"1535"	"Protium"	"aracouchini"	"Venezuela"		115	"NA"	220947	"P. aracouchini"
"-65.53"	"3.18"	"L. W. Williams"	"15376"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	130	130	220947	"P. aracouchini"
"-46.1167"	"-1.2"	"W. L. Bal?e"	"1538"	"Protium"	"aracouchini"	"Brazil"	"Par?"	"NA"	"NA"	220947	"P. aracouchini"
"-68.8431"	"-13.0258"	"A. Poma"	"156"	"Protium"	"aracouchini"	"Bolivia"	"La Paz"	190	190	220947	"P. aracouchini"
"-67.005921"	"-0.1518397"	"G. T. Prance"	"15688"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
