"Longitude"	"Latitude"	"Collector"	"Collection.Number"	"Genus"	"Species"	"Country"	"StateProvince"	"MinimumElevation"	"MaximumElevation"	"REPOSITORIO"	"SP"
"-75.2614"	"-10.3389"	"R. Vásquez Martínez"	"32186"	"Protium"	"leptostachyum"	"Peru"	"Pasco"	700	"NA"	220947	"P. leptostachyum"
"-66.12"	"0.83"	"W. W. Thomas"	"3221"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	170	170	220947	"P. aracouchini"
"-73.58"	"-3.92"	"R. Vásquez Martínez"	"3253"	"Protium"	"calanense"	"Peru"	"Loreto"	130	130	220947	"P. calanense"
"-35.5"	"-7.58"	"E. M. N. Ferraz"	"327"	"Protium"	"aracouchini"	"Brazil"	"Pernambuco"	600	600	220947	"P. aracouchini"
"-46.08"	"-3.12"	"W. L. Bal?e"	"3271"	"Protium"	"aracouchini"	"Brazil"	"Maranh?o"	"NA"	"NA"	220947	"P. aracouchini"
"-76.18"	"-0.02"	"J. Brandbyge"	"33968"	"Protium"	"aracouchini"	"Ecuador"	"Napo"	300	300	220947	"P. aracouchini"
"-46.08"	"-3.12"	"W. L. Bal?e"	"3416"	"Protium"	"aracouchini"	"Brazil"	"Maranh?o"	"NA"	"NA"	220947	"P. aracouchini"
"-67.9667"	"5.3167"	"J. L. Zarucchi"	"3470"	"Protium"	"leptostachyum"	"Colombia"	"Vichada"	120	"NA"	220947	"P. leptostachyum"
"-65.15"	"-10.933333"	"M. H. Nee"	"34821"	"Protium"	"aracouchini"	"Brazil"	"Rond?nia"	175	175	220947	"P. aracouchini"
"-67.07"	"1.93"	"R. L. Liesner"	"3496"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	120	120	220947	"P. aracouchini"
"-52.6008224"	"-0.8809315"	"E. de Oliveira"	"3531"	"Protium"	"aracouchini"	"Brazil"	"Par?"	140	140	220947	"P. aracouchini"
"-64.4564"	"-9.2697"	"A. A. dos Santos"	"3602"	"Protium"	"calanense"	"Brazil"	"Rondônia"	93	"NA"	220947	"P. calanense"
"-45.2508"	"-3.4919"	"W. L. Bal?e"	"361"	"Protium"	"aracouchini"	"Brazil"	"Maranh?o"	"NA"	"NA"	220947	"P. aracouchini"
"-39.0331149"	"-14.4781042"	"A. M. Amorim"	"361"	"Protium"	"aracouchini"	"Brazil"	"Bahia"	"NA"	"NA"	220947	"P. aracouchini"
"-64.5794"	"-9.2583"	"A. A. dos Santos"	"3611"	"Protium"	"calanense"	"Brazil"	"Rondônia"	83	"NA"	220947	"P. calanense"
-75	"-10.83"	"A. Smith"	"37260"	"Protium"	"aracouchini"	"Peru"	"Jun?n"	900	1000	220947	"P. aracouchini"
"-63.9039"	"-8.76194"	"L. M. M. Carreira"	"375"	"Protium"	"aracouchini"	"Brazil"	"Rond?nia"	"NA"	"NA"	220947	"P. aracouchini"
"-48.417263"	"-1.4402643"	"D. C. Daly"	"3757"	"Protium"	"aracouchini"	"Brazil"	"Par?"	"NA"	"NA"	220947	"P. aracouchini"
"-48.417263"	"-1.4402643"	"D. C. Daly"	"3757"	"Protium"	"aracouchini"	"Brazil"	"Par?"	"NA"	"NA"	220947	"P. aracouchini"
"-48.417263"	"-1.4402643"	"D. C. Daly"	"3767"	"Protium"	"aracouchini"	"Brazil"	"Par?"	"NA"	"NA"	220947	"P. aracouchini"
"-47.538503"	"-4.436442"	"U. N. Maciel"	"378"	"Protium"	"aracouchini"	"Brazil"	"Par?"	"NA"	"NA"	220947	"P. aracouchini"
"-65.25"	"3.5"	"N. Dezzeo"	"384"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	300	"NA"	220947	"P. aracouchini"
"-39.0753"	"-15.2933"	"J. L. Paix?o"	"391"	"Protium"	"aracouchini"	"Brazil"	"Bahia"	"NA"	"NA"	220947	"P. aracouchini"
"-76.5"	"-0.63"	"Á. J. Pérez"	"3957"	"Protium"	"calanense"	"Ecuador"	"Orellana"	200	300	220947	"P. calanense"
"-64.2"	"6.23"	"Y. Fernandez"	"398"	"Protium"	"aracouchini"	"Venezuela"	"Bol?var"	308	308	220947	"P. aracouchini"
"-65.4025"	"-10.0728"	"S. Altamirano"	"4023"	"Protium"	"aracouchini"	"Bolivia"	"Pando"	214	"NA"	220947	"P. aracouchini"
"-53.25"	"1.35"	"D. C. Daly"	"4030"	"Protium"	"aracouchini"	"Brazil"	"Amap?"	"NA"	"NA"	220947	"P. aracouchini"
"-59.9281883"	"-2.9548699"	"J. E. de Paula"	"406"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-48.417263"	"-1.4402643"	"D. C. Daly"	"4061"	"Protium"	"aracouchini"	"Brazil"	"Par?"	"NA"	"NA"	220947	"P. aracouchini"
"-77.22"	"3.1"	"A. Smith"	"40619"	"Protium"	"aracouchini"	"Colombia"	"Cauca"	20	100	220947	"P. aracouchini"
"-59.8591161"	"-2.4429611"	"D. C. Daly"	"4074"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-60.0917441"	"-2.326638"	"D. C. Daly"	"4087"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-59.8591161"	"-2.4429611"	"D. C. Daly"	"4103"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-67.8230556"	"-14.6644444"	"A. Fuentes C."	"4103"	"Protium"	"aracouchini"	"Bolivia"	"La Paz"	400	400	220947	"P. aracouchini"
"-67.33333333"	"5.533333333"	"F. J. Gu?nchez"	"415"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	80	90	220947	"P. aracouchini"
"-77.6"	"-1.07"	"W. A. Palacios"	"4226"	"Protium"	"aracouchini"	"Ecuador"	"Napo"	400	400	220947	"P. aracouchini"
"-58.7408"	"-11.3783"	"M. G. da Silva"	"4247"	"Protium"	"aracouchini"	"Brazil"	"Mato Grosso"	"NA"	"NA"	220947	"P. aracouchini"
"-59.9048156"	"-2.4341821"	"M. H. Nee"	"42628"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-59.8109597"	"-2.4350611"	"M. H. Nee"	"42882"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	50	125	220947	"P. aracouchini"
"-60.5417"	"-13.1169"	"C. A. Cid Ferreira"	"4301"	"Protium"	"aracouchini"	"Brazil"	"Rond?nia"	"NA"	"NA"	220947	"P. aracouchini"
"-58.7408"	"-11.3783"	"M. G. da Silva"	"4312"	"Protium"	"aracouchini"	"Brazil"	"Mato Grosso"	"NA"	"NA"	220947	"P. aracouchini"
"-63.4"	"4.97"	"A. Fernandez"	"4335"	"Protium"	"aracouchini"	"Venezuela"	"Bol?var"	350	350	220947	"P. aracouchini"
"-60.0511"	"-12.7386"	"G. F. Arbocz"	"4473"	"Protium"	"aracouchini"	"Brazil"	"Mato Grosso"	"NA"	"NA"	220947	"P. aracouchini"
"-64.2"	"6.47"	"Y. Fernandez"	"448"	"Protium"	"aracouchini"	"Venezuela"	"Bol?var"	293	"NA"	220947	"P. aracouchini"
"-60.61"	"-12.13"	"C. A. Cid Ferreira"	"4497"	"Protium"	"aracouchini"	"Brazil"	"Rond?nia"	"NA"	"NA"	220947	"P. aracouchini"
"-39.08"	"-15.15"	"A. M. V. de Carvalho"	"4554"	"Protium"	"aracouchini"	"Brazil"	"Bahia"	"NA"	"NA"	220947	"P. aracouchini"
"-62.03"	"-11.2"	"C. A. Cid Ferreira"	"4605"	"Protium"	"aracouchini"	"Brazil"	"Rond?nia"	"NA"	"NA"	220947	"P. aracouchini"
"-39.0056"	"-15.3153"	"L. A. Mattos Silva"	"4606"	"Protium"	"aracouchini"	"Brazil"	"Bahia"	"NA"	"NA"	220947	"P. aracouchini"
"-67.1"	"1.7833"	"A. H. Gentry"	"46416"	"Protium"	"leptostachyum"	"Colombia"	"Guainía"	120	120	220947	"P. leptostachyum"
"-39.0692"	"-14.7819"	"A. M. V. de Carvalho"	"4668"	"Protium"	"aracouchini"	"Brazil"	"Bahia"	"NA"	"NA"	220947	"P. aracouchini"
-60	"-11.2"	"C. A. Cid Ferreira"	"4671"	"Protium"	"aracouchini"	"Brazil"	"Rond?nia"	"NA"	"NA"	220947	"P. aracouchini"
-60	"-11.2"	"C. A. Cid Ferreira"	"4671"	"Protium"	"aracouchini"	"Brazil"	"Rond?nia"	"NA"	"NA"	220947	"P. aracouchini"
"-58.7408"	"-11.3783"	"M. G. da Silva"	"4673"	"Protium"	"aracouchini"	"Brazil"	"Mato Grosso"	"NA"	"NA"	220947	"P. aracouchini"
"-39.2481074"	"-15.2189248"	"T. S. dos Santos"	"469"	"Protium"	"calanense"	"Brazil"	"Bahia"	"NA"	"NA"	220947	"P. calanense"
"-66.08"	"0.83"	"A. Smith"	"46911"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	190	190	220947	"P. aracouchini"
"-66.13"	"0.83"	"A. Smith"	"46957"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	150	180	220947	"P. aracouchini"
"-35.0028"	"-7.8389"	"S. G. Freire"	"47"	"Protium"	"aracouchini"	"Brazil"	"Pernambuco"	25	25	220947	"P. aracouchini"
"-35.5"	"-7.58"	"E. M. N. Ferraz"	"480"	"Protium"	"aracouchini"	"Brazil"	"Pernambuco"	600	600	220947	"P. aracouchini"
"-67.77"	"5.03"	"F. J. Breteler"	"4803"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	90	90	220947	"P. aracouchini"
"-54.98"	"5.42"	"J. C. Lindeman"	"4808"	"Protium"	"aracouchini"	"Suriname"		"NA"	"NA"	220947	"P. aracouchini"
"-63.98"	"5.3"	"A. Fernandez"	"4897"	"Protium"	"aracouchini"	"Venezuela"	"Bol?var"	230	"NA"	220947	"P. aracouchini"
"-63.98"	"5.3"	"A. Fernandez"	"4897"	"Protium"	"aracouchini"	"Venezuela"	"Bol?var"	230	"NA"	220947	"P. aracouchini"
"-72.13"	"-0.57"	"A. C. Londo?o"	"493"	"Protium"	"aracouchini"	"Colombia"	"Amazonas"	200	300	220947	"P. aracouchini"
"-63.25"	-9	"W. W. Thomas"	"4977"	"Protium"	"aracouchini"	"Brazil"	"Rond?nia"	"NA"	"NA"	220947	"P. aracouchini"
"-59.6056"	"-10.2825"	"M. C. de Assis"	"498"	"Protium"	"aracouchini"	"Brazil"	"Mato Grosso"	"NA"	"NA"	220947	"P. aracouchini"
"-48.5044"	"-1.45583"	"H. S. Irwin"	"5017"	"Protium"	"aracouchini"	"Brazil"	"Par?"	"NA"	"NA"	220947	"P. aracouchini"
"-35.5"	"-7.58"	"E. M. N. Ferraz"	"506"	"Protium"	"aracouchini"	"Brazil"	"Pernambuco"	600	600	220947	"P. aracouchini"
"-63.0408"	"-9.91333"	"C. A. Cid Ferreira"	"5063"	"Protium"	"aracouchini"	"Brazil"	"Rond?nia"	"NA"	"NA"	220947	"P. aracouchini"
"-69.3"	"-12.82"	"C. R. Reynel"	"5072"	"Protium"	"aracouchini"	"Peru"	"Madre de Dios"	280	"NA"	220947	"P. aracouchini"
"-63.216667"	"-9.083333"	"W. W. Thomas"	"5076"	"Protium"	"aracouchini"	"Brazil"	"Rond?nia"	"NA"	"NA"	220947	"P. aracouchini"
"-35.5"	"-7.58"	"E. M. N. Ferraz"	"509"	"Protium"	"aracouchini"	"Brazil"	"Pernambuco"	600	600	220947	"P. aracouchini"
"-69.72"	"-12.82"	"A. Smith"	"51087"	"Protium"	"aracouchini"	"Peru"	"Madre de Dios"	280	280	220947	"P. aracouchini"
"-69.3"	"-12.82"	"C. R. Reynel"	"5127"	"Protium"	"aracouchini"	"Peru"	"Madre de Dios"	280	"NA"	220947	"P. aracouchini"
"-66.17"	"0.83"	"B. M. Boom"	"5134"	"Protium"	"aracouchini"	"Venezuela"		140	140	220947	"P. aracouchini"
"-69.72"	"-12.82"	"A. Smith"	"51350"	"Protium"	"aracouchini"	"Peru"	"Madre de Dios"	280	280	220947	"P. aracouchini"
"-63.4"	"-8.82"	"W. W. Thomas"	"5152"	"Protium"	"aracouchini"	"Brazil"	"Rond?nia"	"NA"	"NA"	220947	"P. aracouchini"
"-69.3"	"-12.82"	"C. R. Reynel"	"5159"	"Protium"	"aracouchini"	"Peru"	"Madre de Dios"	280	"NA"	220947	"P. aracouchini"
"-66.17"	"0.83"	"B. M. Boom"	"5170"	"Protium"	"elegans"	"Venezuela"	"Amazonas"	140	140	220947	"P. elegans"
"-63.9039"	"-8.76194"	"F. Dionizia"	"52"	"Protium"	"aracouchini"	"Brazil"	"Rond?nia"	"NA"	"NA"	220947	"P. aracouchini"
"-35.5"	"-7.58"	"E. M. N. Ferraz"	"525"	"Protium"	"aracouchini"	"Brazil"	"Pernambuco"	600	600	220947	"P. aracouchini"
"-73.4363889"	"-3.9380556"	"P. V. A. Fine"	"53"	"Protium"	"calanense"	"Peru"	"Loreto"	100	150	220947	"P. calanense"
"-59.9281883"	"-2.9548699"	"W. A. Rodrigues"	"5319"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-59.9281883"	"-2.9548699"	"W. A. Rodrigues"	"5319"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-35.5"	"-7.58"	"E. M. N. Ferraz"	"533"	"Protium"	"aracouchini"	"Brazil"	"Pernambuco"	600	600	220947	"P. aracouchini"
"-59.53"	"-1.83"	"W. W. Thomas"	"5332"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-66.7"	"0.3"	"D. C. Daly"	"5413"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	250	450	220947	"P. aracouchini"
"-56.533"	"3.642"	"H. S. Irwin"	"54576"	"Protium"	"aracouchini"	"Suriname"	"Sipaliwini"	325	325	220947	"P. aracouchini"
"-67.17"	"0.97"	"D. C. Daly"	"5483"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-62.133333"	"-6.966667"	"C. A. Cid Ferreira"	"5488"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-66.85"	"0.25"	"D. C. Daly"	"5495"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	130	370	220947	"P. aracouchini"
"-75.33"	"7.5"	"R. Callejas Posada"	"5501"	"Protium"	"aracouchini"	"Colombia"	"Antioquia"	"NA"	"NA"	220947	"P. aracouchini"
"-66.883333"	"0.833333"	"D. C. Daly"	"5540"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-67.383333"	"0.55"	"D. C. Daly"	"5562"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-59.9952221"	"-3.4396113"	"M. F. da Silva"	"563"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-67.0892"	"-0.1306"	"O. C. Nascimento"	"566"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-60.666667"	"-7.55"	"C. A. Cid Ferreira"	"5697"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-65.55"	"3.17"	"G. Zimmermann"	"57"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	120	"NA"	220947	"P. aracouchini"
"-66.55"	"3.58"	"E. Marin"	"570"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	180	"NA"	220947	"P. aracouchini"
"-39.0083"	"-15.1056"	"J. G. Jardim"	"573"	"Protium"	"aracouchini"	"Brazil"	"Bahia"	"NA"	"NA"	220947	"P. aracouchini"
"-60.41916667"	"6.283305556"	"K. M. Redden"	"5733"	"Protium"	"aracouchini"	"Guyana"	"Cuyuni-Mazaruni"	233	233	220947	"P. aracouchini"
"-60.41916667"	"6.283305556"	"K. M. Redden"	"5733"	"Protium"	"calanense"	"Guyana"	"Cuyuni-Mazaruni"	233	233	220947	"P. calanense"
"-69.28"	"-12.83"	"A. Smith"	"57804"	"Protium"	"aracouchini"	"Peru"	"Madre de Dios"	250	250	220947	"P. aracouchini"
"-73.75"	"-4.92"	"D. C. Daly"	"5785"	"Protium"	"aracouchini"	"Peru"	"Loreto"	"NA"	"NA"	220947	"P. aracouchini"
"-66.38"	"6.57"	"A. Fernandez"	"5789"	"Protium"	"aracouchini"	"Venezuela"	"Bol?var"	800	800	220947	"P. aracouchini"
"-65.374763"	"-9.703555"	"G. T. Prance"	"5792"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-66.38"	"6.57"	"A. Fernandez"	"5796"	"Protium"	"aracouchini"	"Venezuela"	"Bol?var"	800	800	220947	"P. aracouchini"
"-46.819299"	"-1.612611"	"G. T. Prance"	"58764"	"Protium"	"aracouchini"	"Brazil"	"Par?"	"NA"	"NA"	220947	"P. aracouchini"
-60	"-7.25"	"C. A. Cid Ferreira"	"5880"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
-60	"-7.25"	"C. A. Cid Ferreira"	"5880"	"Protium"	"calanense"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. calanense"
"-66.17"	"0.83"	"T. B. Croat"	"59300"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-66.17"	"0.83"	"T. B. Croat"	"59300"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-63.1"	"6.25"	"G. A. Aymard Corredor"	"6033"	"Protium"	"aracouchini"	"Venezuela"	"Bol?var"	400	"NA"	220947	"P. aracouchini"
-35	"-7.7886"	"A. G. da Silva"	"609"	"Protium"	"aracouchini"	"Brazil"	"Pernambuco"	40	40	220947	"P. aracouchini"
"-73.58"	"-3.92"	"R. V?squez Mart?nez"	"6134"	"Protium"	"aracouchini"	"Peru"	"Loreto"	150	"NA"	220947	"P. aracouchini"
"-66.92"	"-0.33"	"M. L. Alencar"	"614"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-65.83"	"-11.08"	"J. C. Solomon"	"6174"	"Protium"	"aracouchini"	"Bolivia"	"Beni"	230	230	220947	"P. aracouchini"
"-65.83"	"-11.08"	"J. C. Solomon"	"6178"	"Protium"	"aracouchini"	"Bolivia"	"Beni"	230	230	220947	"P. aracouchini"
"-64.75"	"6.5833"	"C. Knab-Vispo"	"618"	"Protium"	"aracouchini"	"Venezuela"	"Bol?var"	80	"NA"	220947	"P. aracouchini"
-77	"3.97"	"A. Smith"	"62798"	"Protium"	"aracouchini"	"Colombia"	"Valle del Cauca"	50	50	220947	"P. aracouchini"
"-50.05"	"-6.07"	"C. R. Sperling"	"6286"	"Protium"	"aracouchini"	"Brazil"	"Par?"	650	650	220947	"P. aracouchini"
"-67.07972"	"6.18097"	"N. Cuello A."	"629"	"Protium"	"aracouchini"	"Venezuela"	"Bol?var"	20	30	220947	"P. aracouchini"
"-76.5"	"-0.8"	"M. Aulestia"	"633"	"Protium"	"aracouchini"	"Ecuador"	"Napo"	250	250	220947	"P. aracouchini"
"-67.78"	"3.83"	"G. A. Aymard Corredor"	"6365"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	110	110	220947	"P. aracouchini"
"-67.78"	"3.83"	"G. A. Aymard Corredor"	"6398"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	110	110	220947	"P. aracouchini"
"-67.3019055"	"0.076046"	"P. B. Cavalcante"	"650"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-69.33"	"-12.83"	"S. F. Smith"	"658"	"Protium"	"aracouchini"	"Peru"	"Madre de Dios"	"NA"	"NA"	220947	"P. aracouchini"
"-59.4734144"	"-1.9155557"	"C. A. Cid Ferreira"	"6599"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-59.4734144"	"-1.9155557"	"C. A. Cid Ferreira"	"6599"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-63.0206"	"-7.5061"	"B. A. Krukoff"	"6637"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-59.4734144"	"-1.9155557"	"C. A. Cid Ferreira"	"6659"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-59.4734144"	"-1.9155557"	"C. A. Cid Ferreira"	"6659"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-77.08"	"-0.33"	"E. Gudi?o"	"67"	"Protium"	"aracouchini"	"Ecuador"	"Napo"	250	250	220947	"P. aracouchini"
"-59.4734144"	"-1.9155557"	"C. A. Cid Ferreira"	"6707"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-59.4734144"	"-1.9155557"	"C. A. Cid Ferreira"	"6707"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-76.2"	0	"R. Valencia"	"67484"	"Protium"	"aracouchini"	"Ecuador"	"Sucumb?os"	265	265	220947	"P. aracouchini"
"-67.05"	"1.93"	"H. L. Clark"	"6750"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	119	119	220947	"P. aracouchini"
"-72.6697"	"-7.6311"	"N. A. Rosa"	"679"	"Protium"	"aracouchini"	"Brazil"	"Acre"	"NA"	"NA"	220947	"P. aracouchini"
"-73.6"	"-4.85"	"P. V. A. Fine"	"684"	"Protium"	"calanense"	"Peru"	"Loreto"	100	150	220947	"P. calanense"
"-59.9281883"	"-2.9548699"	"W. A. Rodrigues"	"6845"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-70.1"	"-12.57"	"A. P. Maceda"	"685"	"Protium"	"aracouchini"	"Peru"	"Madre de Dios"	"NA"	"NA"	220947	"P. aracouchini"
"-63.03"	"-7.52"	"B. A. Krukoff"	"6857"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-54.743479"	"4.268374"	"M. J. Jansen-Jacobs"	"6875"	"Protium"	"aracouchini"	"Suriname"	"Marowijne"	600	650	220947	"P. aracouchini"
"-65.55"	"3.17"	"D. Coomes"	"69"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	106	"NA"	220947	"P. aracouchini"
"-64.68333333"	"2.966666667"	"A. Fernandez"	"6921"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	340	340	220947	"P. aracouchini"
"-75.61894444"	"1.750055556"	"D. Cárdenas"	"6924"	"Protium"	"leptostachyum"	"Colombia"	"Caquetá"	"NA"	"NA"	220947	"P. leptostachyum"
"-59.9281883"	"-2.9548699"	"W. A. Rodrigues"	"7017"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-39.1815805"	"-16.3721094"	"P. J. M. Maas"	"7018"	"Protium"	"aracouchini"	"Brazil"	"Bahia"	"NA"	"NA"	220947	"P. aracouchini"
"-39.1815805"	"-16.3721094"	"P. J. M. Maas"	"7018"	"Protium"	"calanense"	"Brazil"	"Bahia"	"NA"	"NA"	220947	"P. calanense"
"-63.03"	"-7.52"	"B. A. Krukoff"	"7027"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-67.08"	"-0.12"	"M. L. Alencar"	"703"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-39.0617"	"-14.4231"	"W. W. Thomas"	"7165"	"Protium"	"calanense"	"Brazil"	"Bahia"	"NA"	"NA"	220947	"P. calanense"
"-67.05"	"1.93"	"H. L. Clark"	"7243"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	119	"NA"	220947	"P. aracouchini"
-77	"-0.42"	"D. A. Neill"	"7255"	"Protium"	"aracouchini"	"Ecuador"	"Napo"	250	250	220947	"P. aracouchini"
"-67.05"	"1.93"	"H. L. Clark"	"7285"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	119	"NA"	220947	"P. aracouchini"
-77	"-0.42"	"D. A. Neill"	"7316"	"Protium"	"aracouchini"	"Ecuador"	"Napo"	250	250	220947	"P. aracouchini"
"-59.97"	"-2.883333"	"J. R. Nascimento"	"732"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-67.75"	4	"J. Velazco"	"736"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	80	"NA"	220947	"P. aracouchini"
"-67.05"	"1.93"	"H. L. Clark"	"7368"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	119	"NA"	220947	"P. aracouchini"
"-63.418158"	"-8.9204557"	"C. A. Cid Ferreira"	"7410"	"Protium"	"aracouchini"	"Brazil"	"Rond?nia"	"NA"	"NA"	220947	"P. aracouchini"
"-67.75"	4	"J. Velazco"	"750"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	80	"NA"	220947	"P. aracouchini"
"-68.67"	"-9.05"	"G. T. Prance"	"7556"	"Protium"	"aracouchini"	"Brazil"	"Acre"	"NA"	"NA"	220947	"P. aracouchini"
"-59.4734144"	"-1.9155557"	"C. A. Cid Ferreira"	"7573"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-38.9197"	"-13.5886"	"R. A. X. Borges"	"759"	"Protium"	"aracouchini"	"Brazil"	"Bahia"	"NA"	"NA"	220947	"P. aracouchini"
"-45.92"	-3	"J. Jangoux"	"764"	"Protium"	"aracouchini"	"Brazil"	"Maranh?o"	0	100	220947	"P. aracouchini"
"-75.53"	"-0.48"	"W. A. Palacios"	"7679"	"Protium"	"aracouchini"	"Ecuador"	"Napo"	230	230	220947	"P. aracouchini"
"-47.75"	"-4.33"	"D. C. Daly"	"768"	"Protium"	"aracouchini"	"Brazil"	"Par?"	"NA"	"NA"	220947	"P. aracouchini"
"-55.546001"	"5.142711"	"J. P. Schulz"	"7680"	"Protium"	"aracouchini"	"Suriname"		"NA"	"NA"	220947	"P. aracouchini"
"-75.53"	"-0.48"	"W. A. Palacios"	"7681"	"Protium"	"aracouchini"	"Ecuador"	"Napo"	230	230	220947	"P. aracouchini"
"-55.546001"	"5.142711"	"J. P. Schulz"	"7697"	"Protium"	"aracouchini"	"Suriname"		"NA"	"NA"	220947	"P. aracouchini"
"-76.53"	"-1.5"	"W. A. Palacios"	"777"	"Protium"	"aracouchini"	"Ecuador"	"Pastaza"	230	230	220947	"P. aracouchini"
"-65.8"	"4.5"	"L. A. Delgado"	"778"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	100	100	220947	"P. aracouchini"
"-75.53"	"-0.55"	"W. A. Palacios"	"7835"	"Protium"	"aracouchini"	"Ecuador"	"Napo"	230	230	220947	"P. aracouchini"
"-75.53"	"-0.55"	"W. A. Palacios"	"7860"	"Protium"	"aracouchini"	"Ecuador"	"Napo"	230	230	220947	"P. aracouchini"
